Pressure (bar),Altitude (m),Kz (cm2/s),LHF,qt,qc,ndz,rg (µm),reff (µm),rw (µm)
11.899989999999999,134884.53216092553,92924409139.42801,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
12.09999,133336.85500771413,93031952109.12823,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
12.299990000000001,131831.65810856028,93136441650.40347,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
12.49999,130367.11988256023,93240817927.90956,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
12.69999,128941.51803288984,93343208353.03763,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
12.899989999999999,127553.23698106561,93443211527.6864,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
13.09999,126200.7496488032,93543110031.85439,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
13.299990000000001,124882.60742427656,93641296118.90448,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
13.49999,123597.44767947166,93737154005.13348,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
13.69999,122343.97783436038,93832851654.812,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
13.899989999999999,121120.975646235,93926532781.89455,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
14.09999,119927.27800005507,94019724897.4749,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
14.299990000000001,118761.78717299289,94110410047.17683,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
14.49999,117623.46028819603,94201232944.0256,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
14.69999,116511.30250128459,94290663275.47661,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
14.899989999999999,115424.36983610854,94378284735.0579,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
15.09999,114361.76784502112,94464860674.35057,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
15.299990000000001,113322.64255058928,94551148128.05412,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
15.49999,112306.17879293094,94636002751.7693,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
15.69999,111311.6035037961,94719472894.64253,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
15.899989999999999,110338.1755901692,94802864173.98923,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
16.09999,109385.19041349465,94884250612.7168,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
16.29999,108451.97396088552,94965538435.04369,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
16.499989999999997,107537.88186797638,95045366461.43318,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
16.69999,106642.29857857004,95124299352.80562,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
16.899990000000003,105764.6382988098,95202222512.60672,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
17.09999,104904.33454901287,95280354270.34636,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
17.29999,104060.85110406237,95355810753.06967,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
17.499989999999997,103233.67010571835,95432511859.47421,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
17.69999,102422.29686383263,95506806124.5936,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
17.899990000000003,101626.2561321619,95581237416.39249,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
18.09999,100845.09265247983,95654152475.42615,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
18.29999,100078.37009874832,95726690186.82108,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
18.499989999999997,99325.67004832823,95798564346.60269,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
18.69999,98586.5870393507,95870190585.21861,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
18.899990000000003,97860.73499421876,95939775395.8691,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
19.09999,97147.74311746287,96009897256.21179,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
19.29999,96447.24965206397,96079469137.43018,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
19.499989999999997,95758.91292405703,96146599153.65843,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
19.69999,95082.3997430344,96215393441.61496,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
19.899990000000003,94417.39168366481,96281661807.10608,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
20.09999,93763.5799455535,96348775685.7764,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
20.29999,93120.66778734486,96413986764.32895,0.0,0.000134,0.0,0.0,0.0,0.0,0.0
