pressure_bar,pressure_cgs,temperature_K,altitude_cm,qc,qt,rg_cm,reff_cm,rw_cm,ndz_cm^-2,kz_cm2_s
1.19e-09,0.00119,164.63081354647943,398672.6101145761,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.335e-09,0.001335,156.63898649223705,386797.2827996903,0.0,6.8691633141668265e-06,0.0,0.0,0.0,0.0,61130749718.53413
1.4950000000000001e-09,0.001495,152.08008959687928,400979.99472721765,0.0,6.8691633141668265e-06,0.0,0.0,0.0,0.0,56593915255.7515
1.68e-09,0.00168,151.8634007789174,406004.7264327626,0.0,6.8691633141668265e-06,0.0,0.0,0.0,0.0,94553528714.25612
1.89e-09,0.00189,153.63785207937605,399731.26337766607,0.0,6.8691633141668265e-06,0.0,0.0,0.0,0.0,269663327385.13513
2.12e-09,0.00212,155.46557436241972,397377.1088279799,0.0,6.8691633141668265e-06,0.0,0.0,0.0,0.0,113354994924.59206
2.3749999999999998e-09,0.002375,155.74289090484766,405650.601917495,0.0,6.8691633141668265e-06,0.0,0.0,0.0,0.0,50066061578.659996
2.6649999999999998e-09,0.002665,156.06600340322098,407109.08294031734,0.0,6.8691633141668265e-06,0.0,0.0,0.0,0.0,102344187881.04543
2.9900000000000002e-09,0.00299,157.73128777633258,415291.76240832405,0.0,6.8691633141668265e-06,0.0,0.0,0.0,0.0,202232172526.34402
3.3550000000000005e-09,0.0033550000000000003,159.72616974190487,416129.7380927601,0.0,6.8691633141668265e-06,0.0,0.0,0.0,0.0,156408451133.58994
3.765e-09,0.003765,161.01142719945008,414578.03032167826,0.0,6.8691633141668265e-06,0.0,0.0,0.0,0.0,68270441547.6957
4.225e-09,0.004225,160.16518757067024,412207.50227034,0.0,6.8691633141668265e-06,0.0,0.0,0.0,0.0,42891271655.53636
4.74e-09,0.004739999999999999,159.77137232846385,419268.59298669687,0.0,6.8691633141668265e-06,0.0,0.0,0.0,0.0,118540669325.55621
5.315e-09,0.005315,162.30023926545917,428769.16015824454,0.0,6.8691633141668265e-06,0.0,0.0,0.0,0.0,265658928885.2215
5.965e-09,0.005965,164.97748809852277,424727.76073917095,0.0,6.8691633141668265e-06,0.0,0.0,0.0,0.0,138438358646.00565
6.695e-09,0.0066949999999999996,164.40828542533762,414194.9276213682,0.0,6.8691633141668265e-06,0.0,0.0,0.0,0.0,38095036840.963356
7.509999999999999e-09,0.007509999999999999,161.199872716933,403979.0028101149,0.0,6.8691633141668265e-06,0.0,0.0,0.0,0.0,35713022315.17997
8.424999999999998e-09,0.008424999999999998,157.08232163296012,387450.7057365666,0.0,6.8691633141668265e-06,0.0,0.0,0.0,0.0,33204741487.2444
9.455e-09,0.009455,150.78753681450283,365073.5478932435,0.0,6.8691633141668265e-06,0.0,0.0,0.0,0.0,30256619903.32867
1.06e-08,0.0106,143.60655382548168,354566.984384804,0.0,6.8691633141668265e-06,0.0,0.0,0.0,0.0,27290870180.261612
1.19e-08,0.0119,136.84847079885287,335041.148030078,0.0,6.8691633141668265e-06,0.0,0.0,0.0,0.0,24623962210.70492
1.335e-08,0.01335,131.28957492615433,333606.3335498649,0.0,6.8691633141668265e-06,0.0,0.0,0.0,0.0,22423336061.64574
1.5e-08,0.015,126.98546123483953,318033.84505687933,0.0,6.8691633141668265e-06,0.0,0.0,0.0,0.0,20631393990.760685
1.6850000000000002e-08,0.01685,123.35769269852858,312297.9329654731,0.0,6.8691633141668265e-06,0.0,0.0,0.0,0.0,19094516822.423737
1.89e-08,0.0189,120.87088301586459,304868.5708744055,0.0,6.8691633141668265e-06,0.0,0.0,0.0,0.0,17885262411.10721
2.12e-08,0.0212,118.97451467967683,298905.4094119313,0.0,6.8691633141668265e-06,0.0,0.0,0.0,0.0,16854412818.199135
2.375e-08,0.02375,117.32867271454298,300960.18994739786,0.0,6.8691633141668265e-06,0.0,0.0,0.0,0.0,15929592412.168596
2.665e-08,0.02665,116.08545145161729,291016.2721523744,0.0,6.8691633141668265e-06,0.0,0.0,0.0,0.0,15113265547.562395
2.99e-08,0.029900000000000003,113.59453530559226,289361.18763759517,0.0,6.8691633141668265e-06,0.0,0.0,0.0,0.0,14129924706.665836
3.355e-08,0.033549999999999996,111.5456383763492,290454.240920676,0.0,6.8691633141668265e-06,0.0,0.0,0.0,0.0,13271691388.003569
3.765e-08,0.03765,112.22285439890015,295311.5350962957,0.0,6.8691633141668265e-06,0.0,0.0,0.0,0.0,56191536956.612
4.225e-08,0.042249999999999996,113.61740621466488,294895.67648715666,0.0,6.8691633141668265e-06,0.0,0.0,0.0,0.0,40100716567.178055
4.74e-08,0.0474,114.40569928759037,296240.7968034467,0.0,6.8691633141668265e-06,0.0,0.0,0.0,0.0,13126602643.448732
5.315e-08,0.05315,114.96004785309182,299282.2060169281,0.0,6.8691633141668265e-06,0.0,0.0,0.0,0.0,21983508459.835632
5.965000000000001e-08,0.05965,115.35144674202752,295110.5474464306,0.0,6.8691633141668265e-06,0.0,0.0,0.0,0.0,11456384204.91916
6.69e-08,0.0669,114.98863364288765,295186.8794561332,0.0,6.8691633141668265e-06,0.0,0.0,0.0,0.0,10980400227.849382
7.505e-08,0.07505,114.13695138064601,293391.92031853844,0.0,6.8691633141668265e-06,0.0,0.0,0.0,0.0,10463374835.772856
8.424999999999999e-08,0.08424999999999999,113.23704031269449,293466.08202012937,0.0,6.8691633141668265e-06,0.0,0.0,0.0,0.0,9962041985.49911
9.455e-08,0.09455,113.16009284998051,292624.0472209079,0.0,6.8691633141668265e-06,0.0,0.0,0.0,0.0,17967335793.48938
1.061e-07,0.1061,113.19137130199519,289287.14723478176,0.0,6.8691633141668265e-06,0.0,0.0,0.0,0.0,9220043257.375263
1.1904499999999999e-07,0.119045,112.12842587588187,287154.98354207736,0.0,6.8691633141668265e-06,0.0,0.0,0.0,0.0,8762019970.914751
1.3357e-07,0.13357,111.14280879104687,288185.5129144555,0.0,6.8691633141668265e-06,0.0,0.0,0.0,0.0,8333469305.635339
